Zeit [s],Spannung [mV]
0.004289903644742354,126.88245
0.00431260154762459,125.35119
0.0043352994505068245,121.76506
0.004357997353389059,118.316666
0.004380695256271294,118.14021
0.004403393159153528,117.55574
0.004426091062035763,111.92247
0.0044487889649179975,108.008224
0.004471486867800232,108.734024
0.004494184770682467,104.91955
0.004516882673564701,103.54544
0.004539580576446937,107.536316
0.004562278479329171,106.34421
0.004584976382211406,102.46352
0.0046076742850936405,99.454315
0.004630372187975875,97.68553
0.00465307009085811,97.10563
0.004675767993740344,96.42651
0.004698465896622579,93.37849
0.0047211637995048135,96.486046
0.004743861702387048,99.84762
0.0047665596052692836,93.23607
0.004789257508151518,91.65071
0.004811955411033753,93.36741
0.004834653313915987,89.22819
0.004857351216798222,85.78666
0.0048800491196804565,87.73087
0.004902747022562691,87.78992
0.004925444925444926,85.27801
0.00494814282832716,84.80045
0.004970840731209395,80.92502
0.0049935386340916295,75.546715
0.005016236536973865,73.83035
0.0050389344398561,74.64743
0.005061632342738334,72.619484
0.005084330245620569,68.279686
0.005107028148502803,64.89408
0.005129726051385038,61.60292
0.0051524239542672726,58.29446
0.005175121857149507,55.712566
0.005197819760031742,56.697315
0.005220517662913976,54.97212
0.005243215565796212,49.826748
0.005265913468678446,44.73223
0.005288611371560681,39.769875
0.005311309274442916,38.027115
0.00533400717732515,34.265583
0.005356705080207385,27.80283
0.005379402983089619,26.001726
0.005402100885971854,23.378143
0.005424798788854089,18.003893
0.005447496691736323,18.254765
0.005470194594618559,13.542257
0.005492892497500793,6.3221965
0.005515590400383028,7.224407
0.0055382883032652624,7.3222575
0.005560986206147497,3.669221
0.005583684109029732,1.6248361
0.005606382011911966,1.8601403
0.005629079914794201,0.31459972
0.005651777817676435,-0.64353293
0.00567447572055867,-3.9904704
0.0056971736234409055,-5.439341
0.00571987152632314,-4.421842
0.005742569429205375,-8.381606
0.005765267332087609,-11.74935
0.005787965234969844,-15.138376
0.0058106631378520785,-15.557687
0.005833361040734313,-14.8823595
0.005856058943616548,-17.15203
0.005878756846498782,-16.133934
0.005901454749381017,-13.126643
0.0059241526522632515,-15.485311
0.005946850555145487,-18.840473
0.0059695484580277215,-18.91658
0.005992246360909956,-21.893839
0.006014944263792191,-22.051167
